province,confidence_level,count,total_records,percentage
AB,non_murb,1085654,1334404,81.36
AB,insufficient_information,232336,1334404,17.41
AB,probable_murb,12127,1334404,0.91
AB,possible_murb,4268,1334404,0.32
AB,high_confidence_murb,19,1334404,0.0
BC,non_murb,917220,1303603,70.36
BC,insufficient_information,376220,1303603,28.86
BC,possible_murb,5617,1303603,0.43
BC,probable_murb,4064,1303603,0.31
BC,high_confidence_murb,290,1303603,0.02
BC,confirmed_murb,192,1303603,0.01
MB,non_murb,526850,656775,80.22
MB,insufficient_information,129925,656775,19.78
NB,non_murb,572428,661827,86.49
NB,insufficient_information,85420,661827,12.91
NB,confirmed_murb,1603,661827,0.24
NB,possible_murb,1383,661827,0.21
NB,high_confidence_murb,895,661827,0.14
NB,probable_murb,98,661827,0.01
NL,non_murb,168836,187694,89.95
NL,insufficient_information,18858,187694,10.05
NS,non_murb,476251,528307,90.15
NS,insufficient_information,49168,528307,9.31
NS,high_confidence_murb,2482,528307,0.47
NS,possible_murb,217,528307,0.04
NS,confirmed_murb,189,528307,0.04
NT,non_murb,10835,11811,91.74
NT,insufficient_information,904,11811,7.65
NT,possible_murb,72,11811,0.61
ON,non_murb,4363325,5695485,76.61
ON,insufficient_information,1308682,5695485,22.98
ON,probable_murb,14237,5695485,0.25
ON,possible_murb,7288,5695485,0.13
ON,confirmed_murb,1027,5695485,0.02
ON,high_confidence_murb,926,5695485,0.02
PE,non_murb,66185,85856,77.09
PE,insufficient_information,19671,85856,22.91
QC,non_murb,3060062,3679721,83.16
QC,insufficient_information,617110,3679721,16.77
QC,possible_murb,2549,3679721,0.07
SK,non_murb,208251,259461,80.26
SK,insufficient_information,51210,259461,19.74
YT,non_murb,10993,12485,88.05
YT,insufficient_information,1492,12485,11.95
