id_non_null,id_distinct,id_duplicates,id_duplicate_pct,source_id_non_null,source_id_distinct,source_id_duplicates,file,province
1334404,1334404,0,0.0,475994,415093,60901,ODB_v3_AB,AB
1303603,1303603,0,0.0,1113483,1021992,91491,ODB_v3_BC,BC
656775,656775,0,0.0,656775,656774,1,ODB_v3_MB,MB
661827,661827,0,0.0,661827,660957,870,ODB_v3_NB,NB
187694,187694,0,0.0,187694,187694,0,ODB_v3_NL,NL
528307,528307,0,0.0,416948,415577,1371,ODB_v3_NS,NS
11811,11811,0,0.0,258,258,0,ODB_v3_NT,NT
2000000,2000000,0,0.0,1938375,1818963,119412,ODB_v3_ON_1,ON
2000000,2000000,0,0.0,1697652,1139860,557792,ODB_v3_ON_2,ON
1695485,1695485,0,0.0,1357317,1060998,296319,ODB_v3_ON_3,ON
85856,85856,0,0.0,85856,85855,1,ODB_v3_PE,PE
2000000,2000000,0,0.0,1627170,1495727,131443,ODB_v3_QC_1,QC
1679721,1679721,0,0.0,975269,890777,84492,ODB_v3_QC_2,QC
259461,259461,0,0.0,259461,259461,0,ODB_v3_SK,SK
12485,12485,0,0.0,12485,12485,0,ODB_v3_YT,YT
