file,province,field,value,count,pct
ODB_v3_AB,AB,source,City of Calgary,488028,36.5727
ODB_v3_AB,AB,source,City of Edmonton,365567,27.3955
ODB_v3_AB,AB,source,Government of Canada,208576,15.6306
ODB_v3_AB,AB,source,City of Lethbridge,68011,5.0967
ODB_v3_AB,AB,source,Parkland County,56886,4.263
ODB_v3_AB,AB,source,Strathcona County,54651,4.0955
ODB_v3_AB,AB,source,City of Grande Prairie,35843,2.6861
ODB_v3_AB,AB,source,City of Airdrie,23281,1.7447
ODB_v3_AB,AB,source,Town of Okotoks,14513,1.0876
ODB_v3_AB,AB,source,Town of Cochrane,10638,0.7972
ODB_v3_AB,AB,source,Town of Canmore,6365,0.477
ODB_v3_AB,AB,source,Town of Banff,2045,0.1533
ODB_v3_AB,AB,dataset,Buildings; Parcel Address,290338,21.7579
ODB_v3_AB,AB,dataset,Building Footprint,224098,16.7939
ODB_v3_AB,AB,dataset,Automatically Extracted Buildings,207115,15.5212
ODB_v3_AB,AB,dataset,Buildings,199373,14.941
ODB_v3_AB,AB,dataset,Building Footprints,160294,12.0124
ODB_v3_AB,AB,dataset,Building Footprint; Parcel Addresses,156202,11.7058
ODB_v3_AB,AB,dataset,Building Footprints; Civic Address,24079,1.8045
ODB_v3_AB,AB,dataset,Building Footprint; Address Points,20634,1.5463
ODB_v3_AB,AB,dataset,Airdrie 2018 Building Footprints; Airdrie Address Points,17412,1.3049
ODB_v3_AB,AB,dataset,Building Footprints; Address Points,9053,0.6784
ODB_v3_AB,AB,dataset,Buildings; Address Points,8259,0.6189
ODB_v3_AB,AB,dataset,Airdrie 2018 Building Footprints,5868,0.4397
ODB_v3_AB,AB,dataset,Canmore Building Footprints; Canmore Addresses,4427,0.3318
ODB_v3_AB,AB,dataset,Canmore Building Footprints,1934,0.1449
ODB_v3_AB,AB,dataset,Building Footprints; Municipal Address Points,1733,0.1299
ODB_v3_AB,AB,dataset,Banff Open Data - Shapefiles (Building Footprints); Banff Open Data - Shapefiles (Address Points),1140,0.0854
ODB_v3_AB,AB,dataset,Banff Open Data - Shapefiles (Building Footprints),905,0.0678
ODB_v3_AB,AB,dataset,Buildings; Schools,444,0.0333
ODB_v3_AB,AB,dataset,Edmonton Public School Board (EPSB): School Locations,191,0.0143
ODB_v3_AB,AB,dataset,Buildings; Community Services,112,0.0084
ODB_v3_AB,AB,dataset,Building Footprints; Points Of Interest,70,0.0052
ODB_v3_AB,AB,dataset,Building Footprint; Edmonton Catholic Schools (Current),69,0.0052
ODB_v3_AB,AB,dataset,Building Footprints; County Named Buildings,49,0.0037
ODB_v3_AB,AB,dataset,Building Footprints; Education,41,0.0031
ODB_v3_AB,AB,dataset,Buildings; Recreation Facilities,36,0.0027
ODB_v3_AB,AB,dataset,Buildings; Fire Stations,31,0.0023
ODB_v3_AB,AB,dataset,Building Footprints; Historic Places,29,0.0022
ODB_v3_AB,AB,dataset,Edmonton Public School Board (EPSB): School Locations; Parcel Addresses,26,0.0019
ODB_v3_AB,AB,dataset,Buildings; Schools; Parcel Address,26,0.0019
ODB_v3_AB,AB,dataset,Building Footprint; Seniors Centres,25,0.0019
ODB_v3_AB,AB,dataset,Building Footprint; Edmonton Public School Board (EPSB): School Locations,25,0.0019
ODB_v3_AB,AB,dataset,Building Footprint; Recreation Facilities,21,0.0016
ODB_v3_AB,AB,dataset,Building Footprints; Youth Services,18,0.0013
ODB_v3_AB,AB,dataset,Building Footprint; Fire Stations,18,0.0013
ODB_v3_AB,AB,dataset,Building Footprint; Schools; Address Points,17,0.0013
ODB_v3_AB,AB,dataset,Buildings; EMS Stations,15,0.0011
ODB_v3_AB,AB,dataset,Building Footprints; County Named Buildings; Civic Address,15,0.0011
ODB_v3_AB,AB,dataset,Building Footprints; Civic Address; County Named Buildings,15,0.0011
ODB_v3_AB,AB,dataset,Building Footprints; Community Services,14,0.001
ODB_v3_AB,AB,dataset,Building Footprints; Government,13,0.001
ODB_v3_AB,AB,dataset,Building Footprint; Address Points; Schools,13,0.001
ODB_v3_AB,AB,dataset,Building Footprints; Culture and Heritage Locations; Address Points,11,0.0008
ODB_v3_AB,AB,dataset,Buildings; Community Services; Parcel Address,10,0.0007
ODB_v3_AB,AB,dataset,Building Footprints; Schools; Address Points,10,0.0007
ODB_v3_AB,AB,dataset,Automatically Extracted Buildings; Grain Elevators in Canada - 2024,10,0.0007
ODB_v3_AB,AB,dataset,Building Footprint; Parcel Addresses; Seniors Centres,9,0.0007
ODB_v3_AB,AB,dataset,Building Footprint; Parcel Addresses; Edmonton Catholic Schools (Current),9,0.0007
ODB_v3_AB,AB,dataset,Building Footprints; Facilities - Point,8,0.0006
ODB_v3_AB,AB,dataset,Buildings; Parcel Address; Schools,7,0.0005
ODB_v3_AB,AB,dataset,Building Footprints; Tourism,7,0.0005
ODB_v3_AB,AB,dataset,Automatically Extracted Buildings; Interest Points,7,0.0005
