total_records,null_geometry,non_null_geometry,null_geometry_pct,file,province
1334404,0,1334404,0.0,ODB_v3_AB,AB
1303603,0,1303603,0.0,ODB_v3_BC,BC
656775,0,656775,0.0,ODB_v3_MB,MB
661827,0,661827,0.0,ODB_v3_NB,NB
187694,0,187694,0.0,ODB_v3_NL,NL
528307,0,528307,0.0,ODB_v3_NS,NS
11811,0,11811,0.0,ODB_v3_NT,NT
2000000,0,2000000,0.0,ODB_v3_ON_1,ON
2000000,0,2000000,0.0,ODB_v3_ON_2,ON
1695485,0,1695485,0.0,ODB_v3_ON_3,ON
85856,0,85856,0.0,ODB_v3_PE,PE
2000000,0,2000000,0.0,ODB_v3_QC_1,QC
1679721,0,1679721,0.0,ODB_v3_QC_2,QC
259461,0,259461,0.0,ODB_v3_SK,SK
12485,0,12485,0.0,ODB_v3_YT,YT
