file,province,field,total,missing,non_missing,parseable,parse_failures,parse_success_pct,sample_failures,min_val,max_val
ODB_v3_AB,AB,units,1334404,1334404,0,0,0,0.0,,,
ODB_v3_AB,AB,floors,1334404,1332363,2041,2041,0,100.0,,1.0,14.0
ODB_v3_AB,AB,height,1334404,1193067,141337,141337,0,100.0,,0.60218492,977.0
ODB_v3_AB,AB,sq_ft,1334404,1334404,0,0,0,0.0,,,
ODB_v3_AB,AB,year_built,1334404,1334365,39,39,0,100.0,,1918.0,2022.0
ODB_v3_BC,BC,units,1303603,1303239,364,364,0,100.0,,1.0,185.0
ODB_v3_BC,BC,floors,1303603,1262218,41385,41385,0,100.0,,1.0,32.0
ODB_v3_BC,BC,height,1303603,957968,345635,345635,0,100.0,,0.00344336,647.046
ODB_v3_BC,BC,sq_ft,1303603,1303349,254,254,0,100.0,,150.0,2368060.0
ODB_v3_BC,BC,year_built,1303603,1204087,99516,99516,0,100.0,,1800.0,2026.0
ODB_v3_MB,MB,units,656775,656775,0,0,0,0.0,,,
ODB_v3_MB,MB,floors,656775,656775,0,0,0,0.0,,,
ODB_v3_MB,MB,height,656775,656775,0,0,0,0.0,,,
ODB_v3_MB,MB,sq_ft,656775,656775,0,0,0,0.0,,,
ODB_v3_MB,MB,year_built,656775,656775,0,0,0,0.0,,,
ODB_v3_NB,NB,units,661827,609039,52788,52788,0,100.0,,1.0,325.0
ODB_v3_NB,NB,floors,661827,660287,1540,1540,0,100.0,,1.0,20.0
ODB_v3_NB,NB,height,661827,639893,21934,21934,0,100.0,,0.2234,127.0
ODB_v3_NB,NB,sq_ft,661827,661827,0,0,0,0.0,,,
ODB_v3_NB,NB,year_built,661827,622011,39816,34317,5499,86.19,,1758.0,2024.0
ODB_v3_NL,NL,units,187694,187694,0,0,0,0.0,,,
ODB_v3_NL,NL,floors,187694,187694,0,0,0,0.0,,,
ODB_v3_NL,NL,height,187694,187694,0,0,0,0.0,,,
ODB_v3_NL,NL,sq_ft,187694,187694,0,0,0,0.0,,,
ODB_v3_NL,NL,year_built,187694,187694,0,0,0,0.0,,,
ODB_v3_NS,NS,units,528307,406715,121592,121592,0,100.0,,1.0,359.0
ODB_v3_NS,NS,floors,528307,524287,4020,4020,0,100.0,,1.0,9.0
ODB_v3_NS,NS,height,528307,528307,0,0,0,0.0,,,
ODB_v3_NS,NS,sq_ft,528307,528307,0,0,0,0.0,,,
ODB_v3_NS,NS,year_built,528307,513650,14657,14657,0,100.0,,1750.0,2024.0
ODB_v3_NT,NT,units,11811,11811,0,0,0,0.0,,,
ODB_v3_NT,NT,floors,11811,11811,0,0,0,0.0,,,
ODB_v3_NT,NT,height,11811,11811,0,0,0,0.0,,,
ODB_v3_NT,NT,sq_ft,11811,11811,0,0,0,0.0,,,
ODB_v3_NT,NT,year_built,11811,11811,0,0,0,0.0,,,
ODB_v3_ON_1,ON,units,2000000,1999777,223,223,0,100.0,,1.0,40.0
ODB_v3_ON_1,ON,floors,2000000,1938443,61557,61557,0,100.0,,1.0,13.0
ODB_v3_ON_1,ON,height,2000000,1701245,298755,298755,0,100.0,,0.26,493.4
ODB_v3_ON_1,ON,sq_ft,2000000,2000000,0,0,0,0.0,,,
ODB_v3_ON_1,ON,year_built,2000000,1999860,140,140,0,100.0,,1824.0,2022.0
ODB_v3_ON_2,ON,units,2000000,1965766,34234,34234,0,100.0,,1.0,583.0
ODB_v3_ON_2,ON,floors,2000000,1822434,177566,177566,0,100.0,,1.0,45.0
ODB_v3_ON_2,ON,height,2000000,1661704,338296,338296,0,100.0,,-0.377,439.8
ODB_v3_ON_2,ON,sq_ft,2000000,1932856,67144,67144,0,100.0,,27.0,3124418.0
ODB_v3_ON_2,ON,year_built,2000000,1925645,74355,74330,25,99.97,,202.0,2033.0
ODB_v3_ON_3,ON,units,1695485,1676317,19168,19168,0,100.0,,1.0,221.0
ODB_v3_ON_3,ON,floors,1695485,1600766,94719,94719,0,100.0,,1.0,26.0
ODB_v3_ON_3,ON,height,1695485,1628726,66759,66759,0,100.0,,-0.50739307,268.09309593
ODB_v3_ON_3,ON,sq_ft,1695485,1626482,69003,69003,0,100.0,,10.60419022,1962864.35218548
ODB_v3_ON_3,ON,year_built,1695485,1692597,2888,2888,0,100.0,,1812.0,2024.0
ODB_v3_PE,PE,units,85856,85856,0,0,0,0.0,,,
ODB_v3_PE,PE,floors,85856,85856,0,0,0,0.0,,,
ODB_v3_PE,PE,height,85856,85856,0,0,0,0.0,,,
ODB_v3_PE,PE,sq_ft,85856,85856,0,0,0,0.0,,,
ODB_v3_PE,PE,year_built,85856,85856,0,0,0,0.0,,,
ODB_v3_QC_1,QC,units,2000000,2000000,0,0,0,0.0,,,
ODB_v3_QC_1,QC,floors,2000000,2000000,0,0,0,0.0,,,
ODB_v3_QC_1,QC,height,2000000,2000000,0,0,0,0.0,,,
ODB_v3_QC_1,QC,sq_ft,2000000,2000000,0,0,0,0.0,,,
ODB_v3_QC_1,QC,year_built,2000000,2000000,0,0,0,0.0,,,
ODB_v3_QC_2,QC,units,1679721,1679721,0,0,0,0.0,,,
ODB_v3_QC_2,QC,floors,1679721,1679721,0,0,0,0.0,,,
ODB_v3_QC_2,QC,height,1679721,1679721,0,0,0,0.0,,,
ODB_v3_QC_2,QC,sq_ft,1679721,1679721,0,0,0,0.0,,,
ODB_v3_QC_2,QC,year_built,1679721,1679721,0,0,0,0.0,,,
ODB_v3_SK,SK,units,259461,259461,0,0,0,0.0,,,
ODB_v3_SK,SK,floors,259461,259461,0,0,0,0.0,,,
ODB_v3_SK,SK,height,259461,259461,0,0,0,0.0,,,
ODB_v3_SK,SK,sq_ft,259461,259461,0,0,0,0.0,,,
ODB_v3_SK,SK,year_built,259461,259461,0,0,0,0.0,,,
ODB_v3_YT,YT,units,12485,12485,0,0,0,0.0,,,
ODB_v3_YT,YT,floors,12485,12485,0,0,0,0.0,,,
ODB_v3_YT,YT,height,12485,12485,0,0,0,0.0,,,
ODB_v3_YT,YT,sq_ft,12485,12485,0,0,0,0.0,,,
ODB_v3_YT,YT,year_built,12485,12485,0,0,0,0.0,,,
