source,total_records,type_count,type_pct,units_count,units_pct,floors_count,floors_pct,height_count,height_pct,sq_ft_count,sq_ft_pct,year_built_count,year_built_pct,file,province
City of Calgary,488028,488028,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
City of Edmonton,365567,396,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
Government of Canada,208576,27,0.01,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
City of Lethbridge,68011,73,0.11,0,0.0,0,0.0,68011,100.0,0,0.0,0,0.0,ODB_v3_AB,AB
Parkland County,56886,74,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
Strathcona County,54651,79,0.14,0,0.0,0,0.0,50049,91.58,0,0.0,0,0.0,ODB_v3_AB,AB
City of Grande Prairie,35843,45,0.13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
City of Airdrie,23281,18333,78.75,0,0.0,0,0.0,23277,99.98,0,0.0,0,0.0,ODB_v3_AB,AB
Town of Okotoks,14513,34,0.23,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
Town of Cochrane,10638,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
Town of Canmore,6365,6360,99.92,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_AB,AB
Town of Banff,2045,0,0.0,0,0.0,2041,99.8,0,0.0,0,0.0,39,1.91,ODB_v3_AB,AB
Government of Canada,444887,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_BC,BC
City of Vancouver,153988,2346,1.52,0,0.0,0,0.0,0,0.0,126,0.08,0,0.0,ODB_v3_BC,BC
City of Surrey,137180,1324,0.97,0,0.0,8,0.01,135270,98.61,128,0.09,0,0.0,ODB_v3_BC,BC
District of Saanich,61267,66,0.11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_BC,BC
City of Burnaby,54008,161,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_BC,BC
City of Chilliwack,46652,4,0.01,0,0.0,0,0.0,46514,99.7,0,0.0,0,0.0,ODB_v3_BC,BC
City of Kelowna,45353,0,0.0,0,0.0,0,0.0,44662,98.48,0,0.0,0,0.0,ODB_v3_BC,BC
City of Kamloops,39872,39872,100.0,0,0.0,0,0.0,39223,98.37,0,0.0,36662,91.95,ODB_v3_BC,BC
City of Coquitlam,33639,24,0.07,0,0.0,0,0.0,30748,91.41,0,0.0,0,0.0,ODB_v3_BC,BC
City of Prince George,31882,0,0.0,0,0.0,13,0.04,31060,97.42,0,0.0,31882,100.0,ODB_v3_BC,BC
City of Nanaimo,31604,31604,100.0,0,0.0,6927,21.92,1757,5.56,0,0.0,0,0.0,ODB_v3_BC,BC
Municipality of North Cowichan,29309,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,ODB_v3_BC,BC
