province,records_with_type,records_missing_type,records_type_mapped,records_type_unmapped,pct_type_mapped,records_positive_murb_type,distinct_type_values
ON,785229,4910256,330384,454845,42.07,92500,738
AB,513449,820955,371327,142122,72.32,342697,102
QC,421389,3258332,1005,420384,0.24,0,115
BC,148882,1154721,91744,57138,61.62,62032,185
NS,132316,395991,118753,13563,89.75,117537,156
NB,117888,543939,30658,87230,26.01,0,110
NT,11210,601,5054,6156,45.08,4432,13
SK,160,259301,3,157,1.88,0,14
MB,32,656743,0,32,0.0,0,1
YT,2,12483,0,2,0.0,0,1
NL,0,187694,0,0,0.0,0,0
PE,0,85856,0,0,0.0,0,0
