type_value,total_count,pct_of_typed,cumulative_pct,provinces,currently_mapped_to,proposed_category,proposed_murb_positive
Residential,616944,28.9569,28.9569,AB;BC;NS;NT;ON,residential,residential,False
General,218243,10.2435,39.2004,AB;BC;ON,UNMAPPED -> dropped,,False
Résidence,142671,6.6964,45.8968,QC,UNMAPPED -> dropped,residential,False
Single Family Dwelling,134333,6.3051,52.2019,AB;BC;NB;ON,residential_single,residential_single,False
Garage - Annexe - Remise,127242,5.9722,58.1741,QC,UNMAPPED -> dropped,other,False
Residential Garage,119061,5.5883,63.7624,AB,UNMAPPED -> dropped,other,False
Shed,75565,3.5467,67.3091,BC;ON,other,other,False
Residence,75498,3.5436,70.8527,NB,UNMAPPED -> dropped,residential,False
Résidentielle,74947,3.5177,74.3704,QC,UNMAPPED -> dropped,residential,False
Single / Semi / Duplex,55742,2.6163,76.9867,ON,UNMAPPED -> dropped,low_rise_residential,False
Detached House,45730,2.1464,79.1331,ON,UNMAPPED -> dropped,residential_single,False
Single-Family Home,42663,2.0024,81.1355,BC;ON,UNMAPPED -> dropped,residential_single,False
Detached,36366,1.7069,82.8424,ON,residential_single,residential_single,False
Résidentiel,31142,1.4617,84.3041,ON;QC,UNMAPPED -> dropped,residential,False
Commercial,27585,1.2947,85.5988,AB;BC;NS;NT;ON;QC,commercial,commercial,False
Résidentiel et commercial,24130,1.1326,86.7314,QC,UNMAPPED -> dropped,mixed_use,False
Garage,16461,0.7726,87.504,NB;ON,other,other,False
General/Residential,15758,0.7396,88.2436,ON,UNMAPPED -> dropped,residential,False
Accessory,15452,0.7253,88.9689,AB;BC;NS;ON,UNMAPPED -> dropped,other,False
Farm,13738,0.6448,89.6137,BC;ON,UNMAPPED -> dropped,other,False
Unclassified,11736,0.5508,90.1645,AB,UNMAPPED -> dropped,,False
Barn,10912,0.5122,90.6767,BC;NB;ON,other,other,False
Townhouse,10284,0.4827,91.1594,ON,townhouse,low_rise_residential,False
Industrial,7355,0.3452,91.5046,BC;NS;NT;ON,industrial,industrial,False
Ancillary,6030,0.283,91.7876,NT,UNMAPPED -> dropped,other,False
Kiln,5942,0.2789,92.0665,ON,UNMAPPED -> dropped,other,False
Detached Garage,5593,0.2625,92.329,BC;ON,UNMAPPED -> dropped,other,False
Two Unit Dwelling,4894,0.2297,92.5587,NB,UNMAPPED -> dropped,low_rise_residential,False
Outbuilding,4784,0.2245,92.7832,BC,UNMAPPED -> dropped,other,False
Mobile Home,4777,0.2242,93.0074,BC;ON,UNMAPPED -> dropped,,False
Emerging Residential,4442,0.2085,93.2159,ON,UNMAPPED -> dropped,residential,False
MultiFamily,4391,0.2061,93.422,BC,UNMAPPED -> dropped,multi_residential,True
Semi-Detached,4058,0.1905,93.6125,ON,semi_detached,low_rise_residential,False
Detatched Garage,3780,0.1774,93.7899,ON,UNMAPPED -> dropped,other,False
Structure,3616,0.1697,93.9596,BC,UNMAPPED -> dropped,,False
