type_value,total_count,n_provinces,provinces,pct_of_typed,cumulative_pct,top_province,currently_mapped_to,currently_murb_evidence,decision_category,decision_is_murb_evidence,reviewer_notes
Residential,616944,5,AB;BC;NS;NT;ON,28.9569,28.9569,AB,residential,yes,,,
General,218243,3,AB;BC;ON,10.2435,39.2004,ON,UNMAPPED -> dropped,no,,,
Résidence,142671,1,QC,6.6964,45.8968,QC,UNMAPPED -> dropped,no,,,
Single Family Dwelling,134333,4,AB;BC;NB;ON,6.3051,52.2019,ON,residential_single,no,,,
Garage - Annexe - Remise,127242,1,QC,5.9722,58.1741,QC,UNMAPPED -> dropped,no,,,
Residential Garage,119061,1,AB,5.5883,63.7624,AB,UNMAPPED -> dropped,no,,,
Shed,75565,2,BC;ON,3.5467,67.3091,ON,other,no,,,
Residence,75498,1,NB,3.5436,70.8527,NB,UNMAPPED -> dropped,no,,,
Résidentielle,74947,1,QC,3.5177,74.3704,QC,UNMAPPED -> dropped,no,,,
Single / Semi / Duplex,55742,1,ON,2.6163,76.9867,ON,UNMAPPED -> dropped,no,,,
Detached House,45730,1,ON,2.1464,79.1331,ON,UNMAPPED -> dropped,no,,,
Single-Family Home,42663,2,BC;ON,2.0024,81.1355,ON,UNMAPPED -> dropped,no,,,
Detached,36366,1,ON,1.7069,82.8424,ON,residential_single,no,,,
Résidentiel,31142,2,ON;QC,1.4617,84.3041,QC,UNMAPPED -> dropped,no,,,
Commercial,27585,6,AB;BC;NS;NT;ON;QC,1.2947,85.5988,AB,commercial,no,,,
Résidentiel et commercial,24130,1,QC,1.1326,86.7314,QC,UNMAPPED -> dropped,no,,,
Garage,16461,2,NB;ON,0.7726,87.504,ON,other,no,,,
General/Residential,15758,1,ON,0.7396,88.2436,ON,UNMAPPED -> dropped,no,,,
Accessory,15452,4,AB;BC;NS;ON,0.7253,88.9689,ON,UNMAPPED -> dropped,no,,,
Farm,13738,2,BC;ON,0.6448,89.6137,ON,UNMAPPED -> dropped,no,,,
Unclassified,11736,1,AB,0.5508,90.1645,AB,UNMAPPED -> dropped,no,,,
Barn,10912,3,BC;NB;ON,0.5122,90.6767,ON,other,no,,,
Townhouse,10284,1,ON,0.4827,91.1594,ON,townhouse,no,,,
Industrial,7355,4,BC;NS;NT;ON,0.3452,91.5046,ON,industrial,no,,,
Ancillary,6030,1,NT,0.283,91.7876,NT,UNMAPPED -> dropped,no,,,
